file_name,а,без,было,в,время,все,всех,даже,для,до,его,если,же,за,и,из,их,как,когда,которые,который,может,мы,на,не,нет,но,он,оно,от,партии,по,при,рабочих,с,со,социал,так,тем,теперь,того,только,у,уже,что,чтобы,это,этой,более,борьбы,бы,был,быть,во,вопрос,всего,г,демократии,ее,есть,еще,или,им,к,лишь,между,можно,нам,нас,ни,о,об,она,они,организации,очень,политической,пролетариата,против,революции,россии,своей,себе,себя,то,том,чем,эти,этом,этот,будет,были,дело,именно,ли,т,этого,была,тов,я,author_folder
trotsky_dem_i_rev.txt,21,9,8,128,6,16,2,6,33,9,21,19,15,19,192,18,19,33,10,8,4,24,30,81,115,13,36,11,6,37,8,9,6,4,51,7,8,28,7,2,11,29,10,0,82,16,26,4,6,4,22,0,13,9,12,3,7,14,16,12,16,13,2,44,5,4,4,4,6,15,11,4,31,56,1,0,7,3,2,12,7,7,7,9,25,9,3,5,2,9,20,5,5,3,8,4,8,3,0,5,trotsky
trotsky_demokratia.txt,6,3,2,33,1,2,2,0,5,1,1,9,10,4,51,3,9,9,2,4,2,3,13,31,32,5,6,1,3,10,0,2,2,0,12,3,0,6,1,2,3,9,3,2,23,2,8,0,1,0,4,1,3,0,2,1,5,7,0,1,4,4,3,7,2,0,2,2,1,5,4,1,12,1,1,1,2,0,3,1,1,2,0,3,5,1,0,0,2,3,3,2,0,0,5,0,1,1,0,1,trotsky
trotsky_dve_tolpy_I.txt,1,1,9,38,2,7,2,0,1,2,2,2,2,7,67,11,3,7,4,2,2,1,6,18,31,1,2,4,2,3,0,9,1,1,15,3,0,6,3,1,0,4,0,1,13,0,8,2,1,0,5,1,3,3,2,0,2,0,0,0,0,3,1,7,0,1,0,0,1,8,3,3,2,9,0,0,1,0,3,6,0,0,3,4,2,1,2,3,2,1,0,1,0,0,0,2,0,0,0,0,trotsky
trotsky_idealisticheskaya_gamma_I.txt,5,0,2,14,0,4,0,0,2,0,2,2,0,3,19,2,1,3,0,0,3,0,2,7,7,3,0,0,0,2,0,2,0,0,5,0,0,0,0,0,1,2,3,0,9,1,5,1,1,0,2,0,0,0,0,0,17,0,1,4,0,3,0,4,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,trotsky
trotsky_intellig_dem.txt,61,20,52,477,19,83,36,18,65,21,28,50,61,73,684,70,52,145,28,37,6,32,93,206,260,14,111,26,17,74,3,86,36,17,135,8,6,55,30,12,40,46,27,42,194,50,75,16,35,16,79,19,43,24,26,16,38,28,53,7,41,39,15,152,32,17,12,6,11,26,61,22,58,67,15,9,32,15,20,7,12,30,12,14,70,19,22,25,17,25,18,31,10,8,21,16,30,24,0,4,trotsky
trotsky_k_smerty_parvusa.txt,4,0,3,33,1,2,2,3,6,0,15,1,3,5,29,2,2,6,2,1,1,1,2,16,14,0,9,17,0,5,0,6,1,0,14,2,1,2,2,0,2,1,3,2,15,1,4,4,2,1,3,6,2,1,2,0,0,1,2,1,4,1,3,9,0,0,0,1,1,2,11,0,4,3,0,1,0,0,3,7,0,2,0,1,10,2,2,2,0,0,0,0,0,0,0,2,4,0,0,4,trotsky
trotsky_kapital_v_opozicii.txt,19,10,12,138,5,17,10,13,40,9,14,7,23,20,240,12,11,41,3,7,3,11,13,77,86,6,36,12,3,26,0,20,27,24,51,5,0,14,7,3,9,23,7,9,57,6,16,1,14,7,22,3,14,10,2,6,4,0,13,4,8,8,6,42,4,10,5,2,3,16,16,4,13,8,2,3,9,7,3,1,8,7,3,2,10,6,9,8,8,7,3,0,2,3,1,7,8,4,0,0,trotsky
trotsky_opekaemoe_studenchestvo_I.txt,8,0,2,32,1,2,0,1,4,2,4,2,3,0,33,4,0,14,1,1,0,5,6,11,22,0,6,3,5,8,4,1,0,0,15,0,0,5,0,1,2,4,0,2,9,4,3,0,2,3,3,0,0,1,2,0,5,3,0,0,1,5,1,5,3,3,1,0,0,2,3,1,0,1,1,0,2,2,2,0,0,0,2,2,2,1,0,0,1,3,0,0,0,0,2,2,3,0,0,0,trotsky
trotsky_perm_rev.txt,184,41,81,1369,41,113,35,46,147,79,85,99,170,104,1224,155,68,289,49,40,37,85,89,435,755,53,235,131,22,149,69,164,61,43,355,26,19,76,66,29,63,167,117,67,453,48,224,71,53,37,117,37,52,79,74,50,115,50,93,52,83,105,18,259,45,56,34,22,63,74,195,38,52,58,6,35,27,197,93,389,57,24,32,29,134,82,69,41,54,44,55,31,45,58,65,122,59,57,7,179,trotsky
trotsky_predisl_nasha_rev.txt,1,2,1,10,0,1,0,0,2,1,6,3,5,1,11,5,0,2,1,0,3,2,7,5,6,1,2,3,0,1,1,5,2,1,7,0,2,3,1,2,1,1,0,0,6,0,3,0,0,1,3,0,0,0,0,0,1,2,0,2,0,0,1,2,1,0,0,2,0,0,4,1,1,0,0,0,1,1,0,1,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,trotsky
trotsky_prolet_i_rev.txt,8,4,8,89,9,20,6,2,16,3,7,5,5,9,103,9,11,11,2,2,5,10,0,42,64,3,20,3,1,17,1,10,9,6,16,2,0,9,9,2,4,14,3,8,29,13,23,4,4,2,11,2,11,12,1,9,1,1,4,5,9,3,1,29,3,1,4,4,1,9,4,2,11,3,1,0,4,8,3,7,3,3,2,4,7,2,10,3,4,2,9,2,1,2,0,1,4,2,0,0,trotsky
trotsky_treb_zemtsy.txt,18,2,4,81,3,5,5,5,16,1,9,6,9,13,88,11,6,15,1,2,4,6,5,22,70,5,23,9,0,9,1,11,10,0,20,1,3,4,5,1,2,21,1,1,33,11,13,1,1,0,11,1,7,2,3,3,10,3,4,3,5,8,2,16,7,4,1,1,2,11,18,2,11,24,1,1,6,1,3,0,4,8,3,3,5,7,4,3,4,5,6,4,1,3,7,1,5,2,0,1,trotsky
trotsky_voyna_i_oppoz.txt,6,2,4,58,4,14,3,2,7,2,9,1,6,12,106,2,3,11,8,1,2,1,1,39,43,3,10,3,3,12,0,5,1,0,30,2,0,3,6,3,6,8,3,2,20,3,8,2,1,2,3,0,3,4,1,1,2,0,3,3,5,1,1,10,2,1,0,1,0,6,9,0,13,8,0,0,2,0,4,0,4,4,1,12,6,3,1,0,1,1,1,1,2,0,4,2,4,6,0,0,trotsky
zasulich_dobrolubov_I.txt,16,3,6,91,4,15,3,5,13,4,24,8,16,10,102,8,12,15,7,2,0,5,7,32,69,3,33,34,5,29,0,5,5,0,23,3,0,5,6,11,6,12,11,6,34,12,10,3,0,0,22,5,2,5,0,4,1,0,1,3,8,4,3,20,4,0,3,1,6,2,10,3,5,11,1,1,0,0,1,1,2,5,5,2,15,1,6,6,2,4,3,1,1,3,2,3,3,7,0,5,zasulich
