chunk_id,author,а,будет,бы,была,были,было,быть,в,во,вопрос,время,все,всего,дело,для,его,ее,если,есть,еще,же,за,и,из,или,им,их,к,как,когда,которые,лишь,между,может,можно,на,не,нет,ни,но,о,об,он,она,они,от,очень,по,под,при,с,своей,своих,себе,себя,так,тем,то,того,только,том,у,чем,что,чтобы,эти,это,этого,этой,этом,я,без,до,именно,ли,оно,потому,уже,более,всех,г,демократии,партии,против,социал,т,борьбы,даже,рабочих,россии,со,теперь,был,этот,мы,нас,нам,пролетариата,политической,революции
trotsky_perm_rev.txt_chunk34,trotsky,8,0,0,0,0,4,0,31,1,1,1,3,1,1,7,3,3,2,4,1,3,5,34,3,2,1,2,7,7,1,1,2,0,7,0,19,29,0,2,7,3,2,2,1,4,5,1,4,0,2,3,1,1,2,0,5,0,6,1,6,1,0,2,16,2,0,6,0,1,1,1,3,1,4,0,2,4,2,0,1,0,1,3,6,2,1,4,1,3,0,1,1,1,1,5,3,1,13,0,4
trotsky_perm_rev.txt_chunk35,trotsky,4,0,0,0,2,1,1,30,2,0,0,2,1,1,9,4,2,0,5,1,2,5,31,4,3,0,2,5,5,0,1,1,1,4,0,15,20,3,4,7,1,0,3,1,2,7,1,3,2,1,12,1,0,0,2,0,1,3,3,4,1,1,4,6,0,2,9,2,6,0,3,0,3,1,1,0,0,4,1,1,1,5,2,0,1,3,1,1,3,0,0,0,1,0,2,1,0,6,0,9
trotsky_perm_rev.txt_chunk37,trotsky,0,0,3.3557046979865772,0,0,0,0,30.201342281879196,0,3.3557046979865772,0,0,0,0,6.7114093959731544,3.3557046979865772,0,0,0,0,0,10.06711409395973,50.335570469798654,3.3557046979865772,0,0,0,0,0,0,0,0,3.3557046979865772,0,0,13.422818791946309,10.06711409395973,0,3.3557046979865772,3.3557046979865772,6.7114093959731544,0,0,13.422818791946309,3.3557046979865772,20.13422818791946,0,3.3557046979865772,0,0,16.778523489932887,0,0,0,0,0,0,0,0,3.3557046979865772,0,0,0,0,0,0,0,0,0,0,0,0,3.3557046979865772,0,0,0,0,3.3557046979865772,0,0,0,0,0,3.3557046979865772,0,0,3.3557046979865772,0,0,0,0,0,0,0,0,0,0,6.7114093959731544,0,13.422818791946309
trotsky_perm_rev.txt_chunk4,trotsky,1,1,1,6,0,4,0,50,0,0,0,4,0,1,5,2,4,3,0,3,5,4,40,3,0,0,1,11,5,0,0,2,0,3,1,12,12,1,0,2,3,1,2,0,5,2,0,4,3,2,10,1,2,1,0,1,3,4,3,4,1,0,4,14,2,2,2,2,0,1,3,0,3,3,1,2,1,0,3,0,7,0,2,3,0,5,1,2,3,4,0,0,2,1,0,0,0,5,0,9
trotsky_perm_rev.txt_chunk5,trotsky,3,1,5,4,0,2,0,30,2,1,4,5,1,3,6,3,2,3,0,2,6,6,28,2,2,0,3,5,7,2,0,2,1,1,2,15,16,0,1,7,1,0,12,4,1,6,2,5,3,1,12,0,0,0,0,3,3,4,2,4,1,0,2,6,1,1,4,2,5,0,8,0,3,0,0,0,0,3,2,0,5,5,4,6,0,2,2,3,2,0,1,0,2,3,1,0,0,5,0,12
trotsky_perm_rev.txt_chunk6,trotsky,1,1,5,3,2,2,1,38,1,2,3,9,0,0,6,1,4,0,2,1,1,3,38,0,4,0,1,8,11,1,1,0,0,0,4,11,16,1,6,6,5,1,0,1,3,4,0,8,0,1,22,0,0,3,2,1,2,1,2,5,0,3,0,10,1,4,6,2,5,1,5,4,0,1,0,0,3,3,1,1,1,0,3,7,0,2,1,0,0,0,1,0,1,0,0,1,0,1,3,8
trotsky_perm_rev.txt_chunk7,trotsky,1,0,2,0,0,0,2,38,4,3,0,1,1,0,1,5,3,1,1,4,5,2,32,5,2,0,3,7,10,1,3,0,0,1,0,16,24,2,3,10,2,0,8,4,0,5,0,4,3,2,10,0,0,0,0,0,2,1,2,4,3,3,2,12,2,1,5,1,1,3,5,3,1,1,0,0,1,1,3,0,2,0,3,4,0,2,3,1,0,0,1,1,1,5,4,0,0,1,3,13
trotsky_perm_rev.txt_chunk8,trotsky,12,0,10,3,1,6,1,36,8,1,2,2,1,2,3,5,2,3,0,0,4,1,27,7,3,0,2,7,7,1,0,0,0,1,2,14,27,2,1,5,5,1,5,0,2,2,2,6,3,3,9,2,1,1,2,3,2,5,2,8,3,3,0,24,1,1,5,0,3,2,9,2,3,4,2,0,0,1,1,2,2,0,0,3,0,3,0,2,0,1,0,2,1,1,1,0,1,0,1,13
trotsky_perm_rev.txt_chunk9,trotsky,7,0,1,0,0,2,1,36,1,0,0,2,2,3,4,5,1,4,1,2,9,5,31,6,3,0,3,13,5,2,4,1,2,0,0,15,23,0,3,7,11,0,6,1,1,4,4,7,2,2,12,1,2,0,2,3,4,3,2,3,2,6,2,14,3,3,6,1,0,1,15,0,1,0,0,1,0,0,2,1,3,0,4,6,0,2,0,2,0,1,1,0,2,3,0,0,0,1,0,5
trotsky_prolet_i_rev.txt_chunk1,trotsky,5,2,2,2,0,2,3,24,6,1,4,9,5,0,6,3,1,0,4,2,3,2,29,4,2,0,2,15,5,1,0,1,1,2,2,17,16,1,0,4,1,0,1,1,1,8,0,4,1,5,7,0,1,0,1,1,5,2,0,7,0,0,4,5,3,2,8,3,0,1,0,2,2,0,0,0,0,1,2,3,0,1,0,1,0,0,2,1,1,2,0,0,0,0,0,1,0,6,2,5
trotsky_prolet_i_rev.txt_chunk2,trotsky,2,2,8,0,2,6,3,31,6,0,5,0,2,1,4,3,0,3,1,6,1,3,26,2,1,0,5,3,4,1,2,2,0,6,2,14,31,2,5,11,2,2,1,2,1,1,0,3,0,0,5,3,3,2,2,7,2,5,4,4,1,3,2,8,2,0,6,0,3,2,0,2,1,0,0,0,0,3,1,2,1,0,0,1,0,0,0,1,2,1,2,0,2,1,0,0,0,1,0,1
trotsky_treb_zemtsy.txt_chunk1,trotsky,6,1,7,1,3,2,4,23,1,1,0,4,2,0,6,4,2,5,3,3,4,8,28,7,3,1,1,6,4,1,0,4,2,3,0,9,26,4,4,10,5,0,7,1,11,1,1,4,0,2,6,3,5,1,2,2,4,1,0,4,3,1,1,18,5,3,7,3,0,0,1,1,0,0,5,0,3,1,1,2,9,3,1,3,3,1,0,2,0,2,0,0,0,1,2,1,0,1,3,0
trotsky_treb_zemtsy.txt_chunk2,trotsky,11,2,4,1,0,1,1,37,0,2,3,1,1,1,4,2,2,1,0,1,4,4,29,2,3,0,4,5,7,0,2,3,1,0,0,9,33,0,2,7,6,2,1,7,13,3,0,3,1,5,11,3,2,2,1,1,1,4,2,8,0,0,2,8,5,0,3,2,1,3,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,3,3,0,0,0,3,0
trotsky_treb_zemtsy.txt_chunk3,trotsky,1.455604075691412,4.366812227074235,0,0,1.455604075691412,1.455604075691412,2.911208151382824,30.567685589519648,1.455604075691412,0,0,0,0,0,8.73362445414847,4.366812227074235,0,0,0,1.455604075691412,1.455604075691412,1.455604075691412,45.12372634643377,2.911208151382824,2.911208151382824,1.455604075691412,1.455604075691412,7.278020378457059,5.822416302765648,0,0,0,1.455604075691412,4.366812227074235,1.455604075691412,5.822416302765648,16.011644832605533,1.455604075691412,7.278020378457059,8.73362445414847,10.189228529839884,0,1.455604075691412,4.366812227074235,0,7.278020378457059,0,5.822416302765648,0,4.366812227074235,4.366812227074235,2.911208151382824,1.455604075691412,0,0,1.455604075691412,0,0,0,13.100436681222707,5.822416302765648,0,1.455604075691412,10.189228529839884,1.455604075691412,0,4.366812227074235,0,0,1.455604075691412,0,0,0,0,1.455604075691412,0,1.455604075691412,0,0,2.911208151382824,1.455604075691412,0,0,0,0,0,0,1.455604075691412,0,1.455604075691412,0,0,1.455604075691412,1.455604075691412,0,1.455604075691412,1.455604075691412,0,0,0
trotsky_voyna_i_oppoz.txt_chunk1,trotsky,1,0,0,3,1,0,2,29,1,1,3,5,1,0,1,3,2,1,2,3,3,4,47,0,1,0,1,6,9,6,1,0,0,0,0,14,14,1,1,4,3,0,2,6,1,7,0,1,0,1,11,2,3,1,2,3,1,3,2,3,2,0,1,9,2,0,3,1,0,1,0,0,1,0,0,2,0,0,1,2,1,0,0,4,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0
trotsky_voyna_i_oppoz.txt_chunk2,trotsky,5,1,2,3,0,3,1,24,3,0,1,6,0,2,3,6,1,0,0,1,3,8,52,2,0,1,2,3,2,1,0,1,1,1,0,21,25,2,4,6,6,0,1,6,5,5,0,4,0,0,16,1,0,0,7,0,4,2,4,5,1,2,0,11,1,0,5,3,1,0,0,2,1,0,4,1,0,2,0,1,1,0,0,0,0,1,2,1,0,3,0,2,0,1,1,0,0,0,1,0
zasulich_dobrolubov_I.txt_chunk1,zasulich,8,0,3,1,0,1,0,38,2,0,0,6,1,0,4,13,0,1,2,3,6,4,30,0,2,0,2,6,2,1,1,1,0,1,2,13,20,1,2,10,5,2,15,2,3,6,1,1,0,5,9,3,1,2,0,1,3,2,3,4,0,6,3,11,2,4,2,1,3,2,0,0,0,0,0,1,1,2,0,1,1,0,0,1,0,0,0,1,0,0,2,0,2,0,4,5,1,0,0,0
zasulich_dobrolubov_I.txt_chunk2,zasulich,2,3,4,2,0,1,1,30,2,0,1,3,2,1,5,9,0,2,1,3,6,3,42,6,0,2,7,8,8,4,0,1,0,1,1,16,26,2,0,15,3,0,17,3,3,13,0,4,1,0,7,1,1,0,2,2,3,7,1,3,1,2,3,18,3,2,6,2,0,0,5,1,2,2,2,2,0,3,0,1,0,0,0,0,0,1,0,1,0,1,0,7,3,3,2,0,0,0,0,1
zasulich_dobrolubov_I.txt_chunk3,zasulich,7.782101167315175,0,19.45525291828794,5.188067444876784,1.297016861219196,5.188067444876784,1.297016861219196,29.831387808041505,1.297016861219196,0,3.8910505836575875,7.782101167315175,1.297016861219196,0,5.188067444876784,2.594033722438392,1.297016861219196,6.485084306095979,0,2.594033722438392,5.188067444876784,3.8910505836575875,38.91050583657588,2.594033722438392,2.594033722438392,1.297016861219196,3.8910505836575875,7.782101167315175,6.485084306095979,2.594033722438392,1.297016861219196,2.594033722438392,0,3.8910505836575875,0,3.8910505836575875,29.831387808041505,0,0,10.376134889753567,2.594033722438392,1.297016861219196,2.594033722438392,0,6.485084306095979,12.970168612191959,0,0,0,0,9.079118028534372,1.297016861219196,0,3.8910505836575875,0,2.594033722438392,0,7.782101167315175,2.594033722438392,6.485084306095979,0,3.8910505836575875,0,6.485084306095979,9.079118028534372,0,2.594033722438392,0,0,0,0,2.594033722438392,2.594033722438392,1.297016861219196,0,2.594033722438392,0,1.297016861219196,0,1.297016861219196,0,0,0,0,0,2.594033722438392,0,3.8910505836575875,0,1.297016861219196,1.297016861219196,5.188067444876784,0,1.297016861219196,1.297016861219196,1.297016861219196,0,0,0,0
