,authorFull,authorID,authorGender,titleFull,titleID,publYear / written,"publDate, YYYY-MM-DD",publishedBy,sizeToken/Word,sizeDigit,"size, kb",dataset (Y/N / 1/0),"typeSource (online, digital, manual)",SourceName,"OCR (tesseract, liveText, no)",Prereform2modern (YES/NO),textSource,textValidation (Y/N),comments,
35,"Ульянов (Ленин), Владимир Ильич",lenin,M,ЧЕГО МЫ ДОБИВАЕМСЯ? (К ПАРТИИ),chego_dobivaemsya,1904,1904-07-01,"Впервые напечатано в 1923 г. в Собрании сочинений Н. Ленина (В. Ульянова), том V",2342,17222,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.9.,NO,NO,Т.9 http://uaio.ru/vil/vilall.htm,N,"Написано в конце июля 1904 г. Впервые напечатано в 1923 г. в Собрании сочинений Н. Ленина (В. Ульянова), том V",
36,"Ульянов (Ленин), Владимир Ильич",lenin,M,К ПАРТИИ,k_partii,1904,1904-08-01,"Напечатано в августе 1904 г. отдельным листком. Печатается по тексту брошюры: «К партии». Женева, 1904",2060,15526,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.9.,NO,NO,Т.9 http://uaio.ru/vil/vilall.htm,N,"Написано в первой половине августа (н. ст.) 1904 г. Напечатано в августе 1904 г. отдельным листком. Печатается по тексту брошюры: «К партии». Женева, 1904",
37,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,Перманентная революция,perm_rev,1928,1928-06-11,взято в интернете,36076,266004,487,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl004.html,N,"Алма-Ата, октябрь 1928 г.",
38,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,Война и либеральная оппозиция,voyna_i_oppoz,1906,1906-06-11,"Из книги ""Наша первая революция, часть 1",2168,15969,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,Книга Льва Троцкого «Наша революция» (сборник статей и материалов о первой русской революции) была написана в основном в 1904–1906 годах и впервые опубликована в Санкт-Петербурге в 1906 году. В более поздних собраниях сочинений Троцкого (1920-е годы) этот материал публиковался под названием «Наша первая революция».,
39,"Ульянов (Ленин), Владимир Ильич",lenin,M,Лев Толстой как зеркало русской революции,tolstoy_kak_zerkalo_rev,1908,1908-09-11,"Пролетарий, 1908, 11(24) сентября, № 35",1336,10436,,1,online,royallib.com,NO,NO,электронная библиотека Royallib.com,N,"Пролетарий, 1908, 11(24) сентября, № 35",
40,"Ульянов (Ленин), Владимир Ильич",lenin,M,Л. Н. Толстой,l_n_tolstoy,1910,1910-11-16,"""Социал-Демократ"" №18, 16 (29) ноября 1910 г.",1257,9672,,1,online,royallib.com,NO,NO,электронная библиотека Royallib.com,N,"""Социал-Демократ"" №18, 16 (29) ноября 1910 г.",
41,"Ульянов (Ленин), Владимир Ильич",lenin,M,Л. Н. Толстой и современное рабочее движение,lntolstoy_i_rab_dvizhenie,1910,1910-11-28,"""Наш Путь"" № 7, 28 ноября 1910 г. Подпись: В. И-ин",762,5534,,1,online,royallib.com,NO,NO,электронная библиотека Royallib.com,N,"""Наш Путь"" № 7, 28 ноября 1910 г. Подпись: В. И-ин",
42,"Ульянов (Ленин), Владимир Ильич",lenin,M,Толстой и пролетарская борьба,tolstoy_i_prolet_borba,1910,1910-12-18,"""Рабочая Газета"" №2, 18 (31) декабря 1910 г.",328,2412,,0,online,royallib.com,NO,NO,электронная библиотека Royallib.com,N,"""Рабочая Газета"" №2, 18 (31) декабря 1910 г.",УБРАЛА ИЗ ДАТАСЕТА - СЛИШКОМ КОРОТКОЕ
43,"Ульянов (Ленин), Владимир Ильич",lenin,M,Л. Н. Толстой и его эпоха,tostoy_i_ego_epoha,1911,1911-01-22,"Звезда, 1911, 22 января (4 февраля), №6. Подпись: В. Ильин",1165,8514,,1,online,royallib.com,NO,NO,электронная библиотека Royallib.com,N,"Звезда, 1911, 22 января (4 февраля), №6. Подпись: В. Ильин",
44,"Крупская, Надежда Константиновна",krupskaya,F,Из воспоминаний о Ленине [о 2 съезде рсдрп],iz_vospomin_o_lenine,,,"Крупская Н .К . Воспоминания о Ленине. М., 1968, с. 66 – 94",7625,52725,,0,online,royallib.com,NO,NO,электронная библиотека Royallib.com,N,убрала из датасета в папку Искра,
45,"Землячка, Р. С.",zeml,F,Организация бюро комитетов большинства,org_buro_komit_bolshva,,,"Воспоминания о втором съезде партии. Сборник статей. М., 1934, с. 162 – 168",1758,12502,,0,online,royallib.com,NO,NO,электронная библиотека Royallib.com,N,убрала из датасета в папку Искра,
46,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,ЧЕГО ТРЕБУЮТ ЗЕМЦЫ?,treb_zemtsy,1906,1906-06-11,"Из книги ""Наша первая революция, часть 1",2648,19900,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,Книга Льва Троцкого «Наша революция» (сборник статей и материалов о первой русской революции) была написана в основном в 1904–1906 годах и впервые опубликована в Санкт-Петербурге в 1906 году. В более поздних собраниях сочинений Троцкого (1920-е годы) этот материал публиковался под названием «Наша первая революция».,
47,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,ДЕМОКРАТИЯ,demokratia,1906,1906-06-11,"Из книги ""Наша первая революция, часть 1",1539,11835,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,Книга Льва Троцкого «Наша революция» (сборник статей и материалов о первой русской революции) была написана в основном в 1904–1906 годах и впервые опубликована в Санкт-Петербурге в 1906 году. В более поздних собраниях сочинений Троцкого (1920-е годы) этот материал публиковался под названием «Наша первая революция».,
48,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,ДЕМОКРАТИЯ И РЕВОЛЮЦИЯ,dem_i_rev,1906,1906-06-11,"Из книги ""Наша первая революция, часть 1",5127,37727,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,Книга Льва Троцкого «Наша революция» (сборник статей и материалов о первой русской революции) была написана в основном в 1904–1906 годах и впервые опубликована в Санкт-Петербурге в 1906 году. В более поздних собраниях сочинений Троцкого (1920-е годы) этот материал публиковался под названием «Наша первая революция».,
49,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,ПРОЛЕТАРИАТ И РЕВОЛЮЦИЯ,prolet_i_rev,1906,1906-06-11,"Из книги ""Наша первая революция, часть 1",2953,22020,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,Книга Льва Троцкого «Наша революция» (сборник статей и материалов о первой русской революции) была написана в основном в 1904–1906 годах и впервые опубликована в Санкт-Петербурге в 1906 году. В более поздних собраниях сочинений Троцкого (1920-е годы) этот материал публиковался под названием «Наша первая революция».,
50,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,ЧТО ЖЕ ДАЛЬШЕ?,chto_dalshe,1905,1905-01-20,"Из книги ""Наша первая революция, часть 1. Дата из текста: Мюнхен, 20 января (2 февр.) 1905 г.",3360,24823,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,,
51,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,"Предисловие Л. Д. Троцкого к книге ""Наша революция""",predisl_nasha_rev,1906,1906-01-01,"Из книги ""Наша первая революция, часть 1.",487,3690,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,"Предисловие к книге ""Наша революция"", вышедшей в 1906 г.",
52,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,КАПИТАЛ В ОППОЗИЦИИ,kapital_v_opozicii,1905,1905-07-01,"Из книги ""Наша первая революция, часть 1. Н. Троцкий. ""Наша революция""*. Изд. Глаголева, СПБ. 1906 г., стр. 74 - 94.",5866,47713,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,"Июль, 1905 г. Н. Троцкий. ""Наша революция""*. Изд. Глаголева, СПБ. 1906 г., стр. 74 - 94.",
53,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,"ИНТЕЛЛИГЕНТСКАЯ «ДЕМОКРАТИЯ""",intellig_dem,1906,1906-01-01,"Из книги ""Наша первая революция, часть 1. ""Из истории одного года"". Петербург, 1906 г., изд. ""Новый мир"". -?",17529,131935,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl101.html,N,,
54,Dubia,dubia,X,Насущные задачи нашего движения,nasushnie_zadachi_I,1900,1900-12-01,"Газета ""Искра"" №1 Декабрь 1900 г",1485,11497,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/lenin/1900/12/zadachi.htm,N,"Газета ""Искра"" №1 Декабрь 1900 г. Проверить авторство. Могли быть соавторы! dubia_nasushnie_zadachi_I",
55,"Ульянов (Ленин), Владимир Ильич",lenin,M,"Что делать? Наболевшие вопросы нашего движения",chto_delat',1903,1903-03-01,"Написано осенью 1901 - в феврале 1902 г.  Напечатано в марте 1903 г. Печатается по тексту, вышедшему в Штутгарте отдельной книгой и сверенному с текстом сборника: Вл. Ильин ""За 12 лет"", 1907",44773,330873,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/lenin/index.htm,N,"Написано осенью 1901 - в феврале 1902 г. Напечатано в марте 1903 г. Печатается по тексту, вышедшему в Штутгарте отдельной книгой и сверенному с текстом сборника: Вл. Ильин ""За 12 лет"", 1907",https://rushist.com/index.php/philosophical-articles/3831-lenin-chto-delat-kratkoe-soderzhanie-i-analiz
56,"Ульянов (Ленин), Владимир Ильич",lenin,M,ПОПЫТКА ОБЪЕДИНЕНИЯ “ИСКРЫ” С “РАБОЧИМ ДЕЛОМ”,pril_k_chto_delat'_I,1902,1902-04-01,"“Искра” № IS [15? 19?], 1 апреля 1902 г. Печатается по тексту газеты “Искра”",1898,14033,,1,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/lenin/1902/6-13-4.htm,N,"“Искра” № 19?, 1 апреля 1902 г. Печатается по тексту газеты “Искра”. В газете пока не нашла - в номере 19 смотрела, может быть другой номер? уточнить",
